ChinaID;Country;Launched_Price
CHN-APP-PRD-0001;China;5.799
CHN-APP-PRD-0002;China;6.099
CHN-APP-PRD-0003;China;6.499
CHN-APP-PRD-0004;China;6.199
CHN-APP-PRD-0005;China;6.499
CHN-APP-PRD-0006;China;6.999
CHN-APP-PRD-0007;China;6.999
CHN-APP-PRD-0008;China;7.099
CHN-APP-PRD-0009;China;7.499
CHN-APP-PRD-0010;China;7.499
CHN-APP-PRD-0011;China;7.799
CHN-APP-PRD-0012;China;8.199
CHN-APP-PRD-0013;China;5.299
CHN-APP-PRD-0014;China;5.599
CHN-APP-PRD-0015;China;5.999
CHN-APP-PRD-0016;China;5.699
CHN-APP-PRD-0017;China;6.199
CHN-APP-PRD-0018;China;6.799
CHN-APP-PRD-0019;China;6.999
CHN-APP-PRD-0020;China;7.299
CHN-APP-PRD-0021;China;7.799
CHN-APP-PRD-0022;China;7.999
CHN-APP-PRD-0023;China;8.199
CHN-APP-PRD-0024;China;8.699
CHN-APP-PRD-0025;China;5.199
CHN-APP-PRD-0026;China;5.599
CHN-APP-PRD-0027;China;5.999
CHN-APP-PRD-0028;China;5.499
CHN-APP-PRD-0029;China;5.899
CHN-APP-PRD-0030;China;6.299
CHN-APP-PRD-0031;China;7.199
CHN-APP-PRD-0032;China;7.499
CHN-APP-PRD-0033;China;7.999
CHN-APP-PRD-0034;China;8.099
CHN-APP-PRD-0035;China;8.499
CHN-APP-PRD-0036;China;8.999
CHN-APP-PRD-0037;China;5.199
CHN-APP-PRD-0038;China;5.599
CHN-APP-PRD-0039;China;5.999
CHN-APP-PRD-0040;China;5.499
CHN-APP-PRD-0041;China;5.899
CHN-APP-PRD-0042;China;6.299
CHN-APP-PRD-0043;China;7.299
CHN-APP-PRD-0044;China;7.699
CHN-APP-PRD-0045;China;8.199
CHN-APP-PRD-0046;China;8.299
CHN-APP-PRD-0047;China;8.799
CHN-APP-PRD-0048;China;9.199
CHN-APP-PRD-0049;China;5.199
CHN-APP-PRD-0050;China;5.599
CHN-APP-PRD-0051;China;5.999
CHN-APP-PRD-0052;China;5.499
CHN-APP-PRD-0053;China;5.899
CHN-APP-PRD-0054;China;6.299
CHN-APP-PRD-0055;China;7.299
CHN-APP-PRD-0056;China;7.699
CHN-APP-PRD-0057;China;8.199
CHN-APP-PRD-0058;China;8.399
CHN-APP-PRD-0059;China;8.799
CHN-APP-PRD-0060;China;9.199
CHN-APP-PRD-0061;China;5.499
CHN-APP-PRD-0062;China;5.899
CHN-APP-PRD-0063;China;6.299
CHN-APP-PRD-0064;China;6.999
CHN-APP-PRD-0065;China;7.399
CHN-APP-PRD-0066;China;7.999
CHN-APP-PRD-0067;China;7.799
CHN-APP-PRD-0068;China;8.199
CHN-APP-PRD-0069;China;8.799
CHN-APP-PRD-0070;China;8.388
CHN-APP-PRD-0071;China;8.788
CHN-APP-PRD-0072;China;9.188
CHN-APP-PRD-0073;China;9.788
CHN-APP-PRD-0074;China;10.388
CHN-APP-PRD-0075;China;10.088
CHN-APP-PRD-0076;China;10.688
CHN-APP-PRD-0077;China;11.288
CHN-APP-PRD-0078;China;6.299
CHN-APP-PRD-0079;China;6.799
CHN-APP-PRD-0080;China;7.299
CHN-APP-PRD-0081;China;3.299
CHN-APP-PRD-0082;China;3.699
CHN-APP-PRD-0083;China;2.299
CHN-APP-PRD-0084;China;2.699
CHN-APP-PRD-0085;China;3.499
CHN-APP-PRD-0086;China;3.799
CHN-APP-PRD-0087;China;6.399
CHN-APP-PRD-0088;China;7.199
CHN-APP-PRD-0089;China;7.999
CHN-APP-PRD-0090;China;7.999
CHN-APP-PRD-0091;China;8.699
CHN-APP-PRD-0092;China;9.199
CHN-APP-PRD-0093;China;8.699
CHN-APP-PRD-0094;China;9.199
CHN-APP-PRD-0095;China;9.799
CHN-APP-PRD-0096;China;10.399
CHN-APP-PRD-0097;China;11.199
CHN-GOO-PRD-0001;China;2.899
CHN-GOO-PRD-0002;China;3.299
CHN-GOO-PRD-0003;China;4.799
CHN-GOO-PRD-0004;China;5.499
CHN-GOO-PRD-0005;China;2.999
CHN-GOO-PRD-0006;China;3.799
CHN-GOO-PRD-0007;China;4.599
CHN-GOO-PRD-0008;China;3.999
CHN-GOO-PRD-0009;China;5.999
CHN-GOO-PRD-0010;China;7.199
CHN-GOO-PRD-0011;China;4.299
CHN-GOO-PRD-0012;China;6.199
CHN-GOO-PRD-0013;China;7.999
CHN-GOO-PRD-0014;China;4.599
CHN-GOO-PRD-0015;China;6.399
CHN-GOO-PRD-0016;China;8.499
CHN-GOO-PRD-0017;China;4.999
CHN-GOO-PRD-0018;China;6.599
CHN-GOO-PRD-0019;China;8.799
CHN-GOO-PRD-0020;China;9.799
CHN-GOO-PRD-0021;China;13.999
CHN-HON-PRD-0001;China;1.499
CHN-HON-PRD-0002;China;2.999
CHN-HON-PRD-0003;China;3.999
CHN-HON-PRD-0004;China;4.499
CHN-HON-PRD-0005;China;2.299
CHN-HON-PRD-0006;China;2.099
CHN-HON-PRD-0007;China;2.499
CHN-HON-PRD-0008;China;2.299
CHN-HON-PRD-0009;China;3.499
CHN-HON-PRD-0010;China;1.499
CHN-HON-PRD-0011;China;3.999
CHN-HON-PRD-0012;China;2.699
CHN-HON-PRD-0013;China;3.699
CHN-HON-PRD-0014;China;2.399
CHN-HON-PRD-0015;China;2.299
CHN-HON-PRD-0016;China;1.799
CHN-HON-PRD-0017;China;2.099
CHN-HON-PRD-0018;China;1.499
CHN-HON-PRD-0019;China;4.599
CHN-HON-PRD-0020;China;5.499
CHN-HON-PRD-0021;China;6.499
CHN-HON-PRD-0022;China;2.699
CHN-HON-PRD-0023;China;3.699
CHN-HON-PRD-0024;China;2.399
CHN-HON-PRD-0025;China;2.099
CHN-HON-PRD-0026;China;1.799
CHN-HON-PRD-0027;China;2.399
CHN-HON-PRD-0028;China;1.199
CHN-HON-PRD-0029;China;1.499
CHN-HON-PRD-0030;China;4.699
CHN-HON-PRD-0031;China;5.499
CHN-HON-PRD-0032;China;6.799
CHN-HON-PRD-0033;China;9.999
CHN-HON-PRD-0034;China;2.699
CHN-HON-PRD-0035;China;3.699
CHN-HON-PRD-0036;China;4.299
CHN-HON-PRD-0037;China;1.499
CHN-HON-PRD-0038;China;1.799
CHN-HON-PRD-0039;China;1.099
CHN-HON-PRD-0040;China;1.299
CHN-HON-PRD-0041;China;4.999
CHN-HON-PRD-0042;China;6.199
CHN-HON-PRD-0043;China;7.499
CHN-HON-PRD-0044;China;9.999
CHN-HON-PRD-0045;China;2.699
CHN-HON-PRD-0046;China;4.199
CHN-HON-PRD-0047;China;1.999
CHN-HON-PRD-0048;China;1.599
CHN-HON-PRD-0049;China;1.399
CHN-HON-PRD-0050;China;999
CHN-HON-PRD-0051;China;1.199
CHN-HON-PRD-0052;China;5.499
CHN-HON-PRD-0053;China;6.999
CHN-HON-PRD-0054;China;8.199
CHN-HON-PRD-0055;China;10.999
CHN-HON-PRD-0056;China;2.999
CHN-HON-PRD-0057;China;3.999
CHN-HON-PRD-0058;China;1.999
CHN-HON-PRD-0059;China;1.599
CHN-HON-PRD-0060;China;1.399
CHN-HON-PRD-0061;China;999
CHN-HON-PRD-0062;China;1.199
CHN-HON-PRD-0063;China;5.499
CHN-HON-PRD-0064;China;6.999
CHN-HON-PRD-0065;China;8.199
CHN-HON-PRD-0066;China;10.999
CHN-HON-PRD-0067;China;1.299
CHN-HON-PRD-0068;China;999
CHN-HON-PRD-0069;China;1.399
CHN-HON-PRD-0070;China;2.199
CHN-HON-PRD-0071;China;2.899
CHN-HON-PRD-0072;China;1.599
CHN-HON-PRD-0073;China;1.199
CHN-HON-PRD-0074;China;999
CHN-HON-PRD-0075;China;2.499
CHN-HON-PRD-0076;China;3.599
CHN-HON-PRD-0077;China;2.299
CHN-HON-PRD-0078;China;2.999
CHN-HON-PRD-0079;China;1.599
CHN-HON-PRD-0080;China;1.199
CHN-HON-PRD-0081;China;3.999
CHN-HON-PRD-0082;China;4.499
CHN-HON-PRD-0083;China;999
CHN-HON-PRD-0084;China;799
CHN-HON-PRD-0085;China;2.199
CHN-HON-PRD-0086;China;3.599
CHN-HON-PRD-0087;China;4.999
CHN-HON-PRD-0088;China;2.299
CHN-HON-PRD-0089;China;2.999
CHN-HON-PRD-0090;China;3.999
CHN-HON-PRD-0091;China;3.599
CHN-HUA-PRD-0001;China;4.488
CHN-HUA-PRD-0002;China;5.988
CHN-HUA-PRD-0003;China;8.988
CHN-HUA-PRD-0004;China;4.599
CHN-HUA-PRD-0005;China;17.999
CHN-HUA-PRD-0006;China;2.699
CHN-HUA-PRD-0007;China;3.499
CHN-HUA-PRD-0008;China;4.088
CHN-HUA-PRD-0009;China;14.999
CHN-HUA-PRD-0010;China;6.299
CHN-HUA-PRD-0011;China;7.299
CHN-HUA-PRD-0012;China;2.699
CHN-HUA-PRD-0013;China;3.499
CHN-HUA-PRD-0014;China;2.299
CHN-HUA-PRD-0015;China;6.988
CHN-HUA-PRD-0016;China;7.988
CHN-HUA-PRD-0017;China;8.988
CHN-HUA-PRD-0018;China;13.999
CHN-HUA-PRD-0019;China;6.999
CHN-HUA-PRD-0020;China;7.999
CHN-HUA-PRD-0021;China;8.999
CHN-HUA-PRD-0022;China;2.999
CHN-HUA-PRD-0023;China;3.499
CHN-HUA-PRD-0024;China;3.999
CHN-HUA-PRD-0025;China;6.988
CHN-HUA-PRD-0026;China;7.988
CHN-HUA-PRD-0027;China;8.988
CHN-HUA-PRD-0028;China;9.988
CHN-HUA-PRD-0029;China;5.499
CHN-HUA-PRD-0030;China;6.499
CHN-HUA-PRD-0031;China;7.499
CHN-HUA-PRD-0032;China;12.999
CHN-HUA-PRD-0033;China;2.999
CHN-HUA-PRD-0034;China;3.499
CHN-HUA-PRD-0035;China;13.499
CHN-HUA-PRD-0036;China;14.499
CHN-HUA-PRD-0037;China;3.199
CHN-HUA-PRD-0038;China;3.699
CHN-HUA-PRD-0039;China;3.999
CHN-HUA-PRD-0040;China;4.499
CHN-HUA-PRD-0041;China;4.799
CHN-HUA-PRD-0042;China;5.199
CHN-INF-PRD-0001;China;1.999
CHN-INF-PRD-0002;China;2.499
CHN-INF-PRD-0003;China;1.399
CHN-INF-PRD-0004;China;3.499
CHN-INF-PRD-0005;China;1.399
CHN-INF-PRD-0006;China;1.199
CHN-INF-PRD-0007;China;1.799
CHN-INF-PRD-0008;China;1.699
CHN-INF-PRD-0009;China;2.499
CHN-INF-PRD-0010;China;2.999
CHN-INF-PRD-0011;China;2.299
CHN-INF-PRD-0012;China;1.799
CHN-INF-PRD-0013;China;1.999
CHN-INF-PRD-0014;China;2.499
CHN-INF-PRD-0015;China;2.999
CHN-INF-PRD-0016;China;1.199
CHN-INF-PRD-0017;China;999
CHN-INF-PRD-0018;China;1.399
CHN-INF-PRD-0019;China;2.199
CHN-INF-PRD-0020;China;2.299
CHN-INF-PRD-0021;China;2.499
CHN-INF-PRD-0022;China;1.799
CHN-INF-PRD-0023;China;2.199
CHN-INF-PRD-0024;China;1.199
CHN-INF-PRD-0025;China;999
CHN-INF-PRD-0026;China;999
CHN-INF-PRD-0027;China;1.099
CHN-INF-PRD-0028;China;1.499
CHN-INF-PRD-0029;China;2.199
CHN-INF-PRD-0030;China;2.299
CHN-INF-PRD-0031;China;2.599
CHN-INF-PRD-0032;China;1.099
CHN-INF-PRD-0033;China;999
CHN-INF-PRD-0034;China;1.199
CHN-INF-PRD-0035;China;899
CHN-INF-PRD-0036;China;1.199
CHN-INF-PRD-0037;China;999
CHN-INF-PRD-0038;China;1.399
CHN-INF-PRD-0039;China;1.499
CHN-INF-PRD-0040;China;899
CHN-INF-PRD-0041;China;999
CHN-INF-PRD-0042;China;1.099
CHN-INF-PRD-0043;China;1.199
CHN-INF-PRD-0044;China;699
CHN-INF-PRD-0045;China;899
CHN-INF-PRD-0046;China;999
CHN-INF-PRD-0047;China;1.099
CHN-INF-PRD-0048;China;1.299
CHN-INF-PRD-0049;China;499
CHN-INF-PRD-0050;China;1.199
CHN-INF-PRD-0051;China;699
CHN-INF-PRD-0052;China;1.499
CHN-INF-PRD-0053;China;1.599
CHN-INF-PRD-0054;China;999
CHN-INF-PRD-0055;China;1.799
CHN-INF-PRD-0056;China;599
CHN-LEN-PRD-0001;China;3.299
CHN-LEN-PRD-0002;China;3.699
CHN-LEN-PRD-0003;China;4.199
CHN-LEN-PRD-0004;China;1.299
CHN-LEN-PRD-0005;China;1.499
CHN-LEN-PRD-0006;China;1.699
CHN-LEN-PRD-0007;China;999
CHN-LEN-PRD-0008;China;1.299
CHN-LEN-PRD-0009;China;1.199
CHN-LEN-PRD-0010;China;999
CHN-LEN-PRD-0011;China;1.499
CHN-LEN-PRD-0012;China;1.699
CHN-LEN-PRD-0013;China;2.899
CHN-LEN-PRD-0014;China;3.299
CHN-LEN-PRD-0015;China;1.998
CHN-MOT-PRD-0001;China;2.499
CHN-MOT-PRD-0002;China;2.799
CHN-MOT-PRD-0003;China;2.999
CHN-MOT-PRD-0004;China;3.299
CHN-MOT-PRD-0005;China;5.999
CHN-MOT-PRD-0006;China;6.499
CHN-MOT-PRD-0007;China;1.799
CHN-MOT-PRD-0008;China;1.999
CHN-MOT-PRD-0009;China;1.499
CHN-MOT-PRD-0010;China;1.699
CHN-MOT-PRD-0011;China;1.399
CHN-MOT-PRD-0012;China;1.599
CHN-MOT-PRD-0013;China;2.199
CHN-MOT-PRD-0014;China;2.399
CHN-MOT-PRD-0015;China;1.299
CHN-MOT-PRD-0016;China;1.499
CHN-MOT-PRD-0017;China;1.599
CHN-MOT-PRD-0018;China;1.799
CHN-MOT-PRD-0019;China;999
CHN-MOT-PRD-0020;China;1.199
CHN-MOT-PRD-0021;China;2.699
CHN-MOT-PRD-0022;China;2.999
CHN-MOT-PRD-0023;China;2.499
CHN-MOT-PRD-0024;China;2.799
CHN-MOT-PRD-0025;China;2.999
CHN-MOT-PRD-0026;China;3.299
CHN-MOT-PRD-0027;China;2.199
CHN-MOT-PRD-0028;China;2.499
CHN-MOT-PRD-0029;China;1.599
CHN-MOT-PRD-0030;China;1.899
CHN-MOT-PRD-0031;China;1.899
CHN-MOT-PRD-0032;China;2.199
CHN-MOT-PRD-0033;China;3.299
CHN-MOT-PRD-0034;China;3.599
CHN-MOT-PRD-0035;China;7.999
CHN-MOT-PRD-0036;China;5.999
CHN-MOT-PRD-0037;China;2.499
CHN-MOT-PRD-0038;China;2.799
CHN-MOT-PRD-0039;China;2.199
CHN-MOT-PRD-0040;China;2.499
CHN-MOT-PRD-0041;China;999
CHN-MOT-PRD-0042;China;1.199
CHN-MOT-PRD-0043;China;3.299
CHN-MOT-PRD-0044;China;3.599
CHN-MOT-PRD-0045;China;8.999
CHN-MOT-PRD-0046;China;2.199
CHN-MOT-PRD-0047;China;2.499
CHN-MOT-PRD-0048;China;8.999
CHN-MOT-PRD-0049;China;3.999
CHN-MOT-PRD-0050;China;4.299
CHN-MOT-PRD-0051;China;2.499
CHN-MOT-PRD-0052;China;2.799
CHN-MOT-PRD-0053;China;1.999
CHN-MOT-PRD-0054;China;2.299
CHN-MOT-PRD-0055;China;1.599
CHN-MOT-PRD-0056;China;1.899
CHN-MOT-PRD-0057;China;1.399
CHN-MOT-PRD-0058;China;1.299
CHN-MOT-PRD-0059;China;999
CHN-MOT-PRD-0060;China;899
CHN-MOT-PRD-0061;China;999
CHN-MOT-PRD-0062;China;1.199
CHN-NOK-PRD-0001;China;1.499
CHN-NOK-PRD-0002;China;999
CHN-NOK-PRD-0003;China;1.199
CHN-NOK-PRD-0004;China;899
CHN-NOK-PRD-0005;China;999
CHN-NOK-PRD-0006;China;1.099
CHN-NOK-PRD-0007;China;1.299
CHN-NOK-PRD-0008;China;799
CHN-NOK-PRD-0009;China;899
CHN-NOK-PRD-0010;China;1.799
CHN-NOK-PRD-0011;China;1.250
CHN-ONE-PRD-0001;China;5.999
CHN-ONE-PRD-0002;China;4.299
CHN-ONE-PRD-0003;China;4.999
CHN-ONE-PRD-0004;China;3.799
CHN-ONE-PRD-0005;China;3.499
CHN-ONE-PRD-0006;China;2.799
CHN-ONE-PRD-0007;China;2.099
CHN-ONE-PRD-0008;China;1.999
CHN-ONE-PRD-0009;China;6.999
CHN-ONE-PRD-0010;China;4.999
CHN-ONE-PRD-0011;China;4.699
CHN-ONE-PRD-0012;China;4.199
CHN-ONE-PRD-0013;China;3.699
CHN-ONE-PRD-0014;China;6.399
CHN-ONE-PRD-0015;China;2.499
CHN-ONE-PRD-0016;China;2.299
CHN-ONE-PRD-0017;China;1.199
CHN-ONE-PRD-0018;China;1.099
CHN-ONE-PRD-0019;China;3.699
CHN-ONE-PRD-0020;China;4.199
CHN-ONE-PRD-0021;China;3.499
CHN-ONE-PRD-0022;China;4.699
CHN-ONE-PRD-0023;China;3.499
CHN-ONE-PRD-0024;China;4.999
CHN-ONE-PRD-0025;China;3.499
CHN-ONE-PRD-0026;China;1.799
CHN-ONE-PRD-0027;China;2.499
CHN-ONE-PRD-0028;China;2.099
CHN-ONE-PRD-0029;China;2.499
CHN-ONE-PRD-0030;China;2.499
CHN-ONE-PRD-0031;China;1.099
CHN-ONE-PRD-0032;China;1.799
CHN-ONE-PRD-0033;China;3.499
CHN-ONE-PRD-0034;China;3.199
CHN-ONE-PRD-0035;China;4.699
CHN-ONE-PRD-0036;China;3.499
CHN-ONE-PRD-0037;China;6.499
CHN-ONE-PRD-0038;China;5.999
CHN-ONE-PRD-0039;China;3.899
CHN-ONE-PRD-0040;China;4.699
CHN-ONE-PRD-0041;China;3.499
CHN-ONE-PRD-0042;China;3.299
CHN-ONE-PRD-0043;China;2.499
CHN-ONE-PRD-0044;China;4.999
CHN-ONE-PRD-0045;China;4.699
CHN-ONE-PRD-0046;China;5.299
CHN-ONE-PRD-0047;China;6.499
CHN-ONE-PRD-0048;China;5.999
CHN-ONE-PRD-0049;China;6.199
CHN-ONE-PRD-0050;China;5.899
CHN-ONE-PRD-0051;China;3.999
CHN-ONE-PRD-0052;China;4.499
CHN-ONE-PRD-0053;China;5.999
CHN-OPP-PRD-0001;China;9.999
CHN-OPP-PRD-0002;China;6.999
CHN-OPP-PRD-0003;China;8.999
CHN-OPP-PRD-0004;China;7.499
CHN-OPP-PRD-0005;China;3.499
CHN-OPP-PRD-0006;China;3.499
CHN-OPP-PRD-0007;China;5.999
CHN-OPP-PRD-0008;China;4.999
CHN-OPP-PRD-0009;China;3.199
CHN-OPP-PRD-0010;China;3.199
CHN-OPP-PRD-0011;China;5.499
CHN-OPP-PRD-0012;China;3.999
CHN-OPP-PRD-0013;China;3.499
CHN-OPP-PRD-0014;China;4.999
CHN-OPP-PRD-0015;China;3.999
CHN-OPP-PRD-0016;China;4.499
